 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | Successfully retrieved value from the 'Buy' field
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | [End]: getTextFromSpecificInputField
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | 'Buy' field should be empty. Actual value: 'true' is same as expected value: 'true'
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | Actual value: 'true' is same as expected value: 'true'
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | [Start]: setValueIntoBuyField
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | Parsing Locator: Sell input field locator#xpath=//label[normalize-space()= 'Buy']/..//input
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | Locator Description : Sell input field locator
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | Identify Type: xpath
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | Locator: //label[normalize-space()= 'Buy']/..//input
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | Successfully entered value in the Sell field
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | [End]: setValueIntoBuyField
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | [Start]: getTextFromSpecificInputField
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | Parsing Locator: Input field locator#xpath=//label[normalize-space()= 'Sell']/..//input
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | Locator Description : Input field locator
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | Identify Type: xpath
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | Locator: //label[normalize-space()= 'Sell']/..//input
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | Successfully retrieved value from the 'Sell' field
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | [End]: getTextFromSpecificInputField
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | 'Sell' field should be empty. Actual value: 'true' is same as expected value: 'true'
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | Actual value: 'true' is same as expected value: 'true'
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | [End]: TC-01 & TC-02
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | [End]: Iteration Completed for test data set **'0'** of 'TC_01' test case
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | [End]: Execution completed for 'TC_01' test case
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | [Start]: Updating report for 'TC_01' test case
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | [End]: Updated report for '' test case
 INFO | 2021-07-24 12:42:53 PM | LogWriter.java | 40 | [Start]: Deleting cookies before test case execution
 INFO | 2021-07-24 12:42:54 PM | LogWriter.java | 40 | [End]: Deleted cookies before test case execution
 INFO | 2021-07-24 12:42:54 PM | LogWriter.java | 40 | [Start]: Execution started for 'TC_02' test case
 INFO | 2021-07-24 12:42:54 PM | LogWriter.java | 40 | [Start]: Preparing test data for 'TC_02' test case
 INFO | 2021-07-24 12:42:54 PM | LogWriter.java | 40 | Property key is 'TestDataSheetName' and corresponding value is 'Test_Data_Sheet'
 INFO | 2021-07-24 12:42:54 PM | LogWriter.java | 40 | Test data {Paysera Rates=0.031400, 0.036900, Official Rates=0.031000, 0.036400, Country Name=Ukraine, Sell Dropdown Value=UAH, Currencies=EUR, USD, Paysera Amounts=3.14, 3.69}added for 'TC_02'test case.
 INFO | 2021-07-24 12:42:54 PM | LogWriter.java | 40 | [End]: Prepared test data for 'TC_02' test case
 INFO | 2021-07-24 12:42:54 PM | LogWriter.java | 40 | Parsing Locator: Dropdown locator#xpath=//span[@class='js-localization-popover']
 INFO | 2021-07-24 12:42:54 PM | LogWriter.java | 40 | Locator Description : Dropdown locator
 INFO | 2021-07-24 12:42:54 PM | LogWriter.java | 40 | Identify Type: xpath
 INFO | 2021-07-24 12:42:54 PM | LogWriter.java | 40 | Locator: //span[@class='js-localization-popover']
 INFO | 2021-07-24 12:42:54 PM | LogWriter.java | 40 | Parsing Locator: Loading spinner locator#xpath=//img[@class=' ls-is-cached lazyloaded']
 INFO | 2021-07-24 12:42:54 PM | LogWriter.java | 40 | Locator Description : Loading spinner locator
 INFO | 2021-07-24 12:42:54 PM | LogWriter.java | 40 | Identify Type: xpath
 INFO | 2021-07-24 12:42:54 PM | LogWriter.java | 40 | Locator: //img[@class=' ls-is-cached lazyloaded']
 INFO | 2021-07-24 12:42:55 PM | LogWriter.java | 40 | Parsing Locator: Loading spinner locator#xpath=//img[@class=' ls-is-cached lazyloaded']
 INFO | 2021-07-24 12:42:55 PM | LogWriter.java | 40 | Locator Description : Loading spinner locator
 INFO | 2021-07-24 12:42:55 PM | LogWriter.java | 40 | Identify Type: xpath
 INFO | 2021-07-24 12:42:55 PM | LogWriter.java | 40 | Locator: //img[@class=' ls-is-cached lazyloaded']
 INFO | 2021-07-24 12:42:55 PM | LogWriter.java | 40 | Parsing Locator: Loading spinner locator#xpath=//img[@class=' ls-is-cached lazyloaded']
 INFO | 2021-07-24 12:42:55 PM | LogWriter.java | 40 | Locator Description : Loading spinner locator
